world_id,scene_id,object_id_a,object_id_b,_object_name_a,_object_name_b,boundary_sharpness,minimum_boundary_distance,minimum_boundary_distance_is_metric,surface_normal_consistency,relative_height,depth_gradient,overlap_ratio,edge_continuity,occlusion_boundary_score,ground_truth_relation
world5_occlusion_scene,world5_occlusion_scene__v5,1,10,obj_cereal_box,obj_notebook,,1.0,False,0.941812020397927,0.15923665326925274,,0.003912363067292645,1.0,0.9355555555555555,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,1,11,obj_cereal_box,obj_book,,1.0,False,0.7527871253698512,0.12846997475607203,,0.0033268419344368713,1.0,0.8183716075156575,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,2,3,obj_bottle,obj_jar,0.3124401271343231,3.196899890899658,False,0.9319439707435031,0.03717082402349714,0.05251127853989601,0.1249780893952673,,0.16666666666666674,Contact
world5_occlusion_scene,world5_occlusion_scene__v5,2,10,obj_bottle,obj_notebook,0.3814907968044281,1.0,False,0.852276248421933,0.13048944492203796,0.06636804342269897,0.10568603213844252,0.7111111111111111,0.9030837004405285,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,2,11,obj_bottle,obj_book,0.4238775968551636,1.0,False,0.5527059286473287,0.09972276640885724,0.07817397266626358,0.16796267496111975,1.0,0.7052631578947368,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,4,5,obj_tissue_box,obj_cup,0.16678006947040558,1.0,False,0.9815279785837174,0.017670013110859473,0.039499565958976746,0.22922044398554467,1.0,0.550561797752809,Contact
world5_occlusion_scene,world5_occlusion_scene__v5,4,6,obj_tissue_box,obj_bowl,0.1908131241798401,4.393799781799316,False,0.8923494537000389,0.00750485277043178,0.03640980273485184,0.0,,0.5292397660818713,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,4,12,obj_tissue_box,obj_plate,0.18930652737617493,1.0,False,0.8456815523292359,0.09521199999847063,0.047996796667575836,0.08693098384728341,1.0,0.7378190255220418,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,6,7,obj_bowl,obj_apple,0.17098554968833923,4.393799781799316,False,0.8195782799183616,-0.011838625825714266,0.032097943127155304,0.0,,0.553763440860215,Contact
world5_occlusion_scene,world5_occlusion_scene__v5,6,8,obj_bowl,obj_can,0.14694416522979736,1.0,False,0.7013745017578464,-0.023037825122882216,0.029639432206749916,0.14361485108119135,1.0,0.7114317425083241,Contact
world5_occlusion_scene,world5_occlusion_scene__v5,6,13,obj_bowl,obj_mug,0.1970442682504654,1.0,False,0.6675912169220094,0.017041323695563437,0.035684965550899506,0.027606710554257806,1.0,0.8415841584158417,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,6,17,obj_bowl,obj_banana,0.15130367875099182,1.0,False,0.7931242167316749,0.04547548685714675,0.03183314576745033,0.04824105685023007,1.0,0.7820359281437126,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,7,8,obj_apple,obj_can,0.13606613874435425,1.0,False,0.940840434069885,-0.01119919929716795,0.03307616710662842,0.07088350008478887,1.0,0.5649867374005305,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,10,11,obj_notebook,obj_book,0.4421033561229706,1.0,False,0.9066914556270567,-0.030766678513180712,0.17111310362815857,0.0,1.0,1.0,Contact
world5_occlusion_scene,world5_occlusion_scene__v5,12,13,obj_plate,obj_mug,0.19644795358181,3.0,False,0.620801586964615,-0.07066582353247541,0.05170055478811264,0.0,,0.0792452830188679,Contact
world5_occlusion_scene,world5_occlusion_scene__v5,13,14,obj_mug,obj_sponge,0.21581491827964783,1.0,False,0.8587359709140062,0.0417043087288782,0.06520473212003708,0.020434227330779056,1.0,0.7053824362606231,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,14,15,obj_sponge,obj_container,0.10865452885627747,1.0,False,0.6627789491675893,-0.03614665564360353,0.053105175495147705,0.0316622691292876,1.0,1.0,Contact
world5_occlusion_scene,world5_occlusion_scene__v5,14,17,obj_sponge,obj_banana,0.11110913753509521,2.0,False,0.9711093600257938,-0.013270145567294889,0.04629930853843689,0.004008016032064128,,1.0,Separate
world5_occlusion_scene,world5_occlusion_scene__v5,15,16,obj_container,obj_toy,,1.0,False,0.9380779213536004,-0.04395554561202353,,0.31069684864624947,1.0,0.33984375,Support
world5_occlusion_scene,world5_occlusion_scene__v5,15,17,obj_container,obj_banana,0.11088822782039642,1.0,False,0.49165419813517464,0.022876510076308643,0.047426823526620865,0.01639344262295082,1.0,0.5524193548387097,Contact
