trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
1,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:26:45.106526
2,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:26:47.227278
3,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:26:49.677258
4,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:26:52.277043
5,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:26:54.587520
6,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:26:57.588994
7,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:00.486304
8,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:03.639456
9,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:05.947762
10,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:11.233574
11,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:14.336765
12,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:16.993699
13,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:19.295259
14,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:21.382114
15,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:23.603072
16,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:26.442042
17,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:31.881284
18,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:35.308996
19,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:37.680372
20,proposed,obj_bottle,0.1148,0.2626,0.06,0.2,0.0548,0.0626,SKIP,SKIP,True,2026-07-14T14:27:39.954955
1,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:27:47.274898
2,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:27:49.831778
3,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:03.723848
4,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:15.621406
5,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:18.627141
6,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:21.887470
7,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:24.332595
8,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:34.875385
9,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:40.293440
10,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:43.449574
11,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:46.255155
12,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:48.705162
13,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:28:51.650569
14,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:29:03.328472
15,proposed,obj_mug,0.1124,0.2227,0.07,0.1,0.0424,0.1227,SKIP,GRASP,False,2026-07-14T14:29:06.808800
